Disease,Symptom1,Symptom2,Symptom3,Precautions,Medications,Specialist
Migraine,Severe headache,Nausea,Sensitivity to light,"Avoid triggers, stress management","Pain relievers, Triptans",Neurologist
Osteoporosis,Bone fractures,Back pain,Weak grip strength,"Calcium, Vitamin D intake",Bisphosphonates,Orthopedic Specialist
Appendicitis,Abdominal pain,Nausea,Fever,"Avoid fatty foods, hydration",Surgery,General Surgeon
Hepatitis B,Jaundice,Fatigue,Abdominal pain,"Hepatitis B vaccine, avoid unclean needles","Antivirals, Liver protectants",Hepatologist
Kidney Stones,Severe pain (side),Nausea,Painful urination,"Hydration, reduce oxalate foods","Pain relievers, Lithotripsy",Urologist
Urinary Tract Infection (UTI),Frequent urination,Burning sensation,Cloudy urine,"Hygiene, drink water",Antibiotics,Urologist
Anemia,Fatigue,Pale skin,Shortness of breath,"Iron-rich diet, Vitamin B12 intake","Iron supplements, B12",Hematologist
Leprosy,Skin sores,Nerve damage,Numbness,"Early detection, hygiene",Antibiotics,Dermatologist
Psoriasis,Red skin patches,Itching,Scaly skin,"Moisturizing, avoid triggers","Steroids, Immunosuppressants",Dermatologist
Skin Cancer,Abnormal skin growth,Change in moles,Bleeding lesion,"Sunscreen, avoid UV exposure","Surgery, Chemotherapy",Oncologist
HIV/AIDS,Weight loss,Recurrent infections,Fatigue,"Safe sex, avoid unclean needles",Antiretrovirals (ART),Infectious Disease Specialist
Depression,Sadness,Loss of interest,Sleep disturbances,"Therapy, healthy lifestyle",Antidepressants,Psychiatrist
Meningitis,Fever,Headache,Stiff Neck,"Vaccination, hygiene, avoid infected individuals","Antibiotics, Steroids","Neurologist, Infectious Disease Specialist"
Typhoid Fever,High Fever,Abdominal Pain,Weakness,"Hygiene, avoid contaminated food/water",Antibiotics (Ciprofloxacin),General Physician
Tuberculosis (TB),Cough (blood-tinged),Night Sweats,Weight Loss,"BCG vaccine, avoid infected individuals","Antibiotics (Rifampin, Isoniazid)",Pulmonologist
Diphtheria,Sore Throat,Swollen Glands,Difficulty Breathing,"Vaccination, avoid close contact","Antibiotics, Antitoxins",Infectious Disease Specialist
Measles,Rash,"High Fever	",Runny Nose,"MMR vaccine, hygiene","Fever reducers, Fluids",Pediatrician
Chickenpox,Skin Rash,Itching,Fever,"Vaccination, avoid scratching","Antivirals, Antihistamines","Dermatologist, Pediatrician"
Tetanus,Muscle Stiffness,Lockjaw,Difficulty Swallowing,"Vaccination, wound care",Tetanus Immunoglobulin,Infectious Disease Specialist
Rabies,Fever,Hydrophobia,Hallucinations,"Vaccination, avoid animal bites",Rabies Immunoglobulin,"Neurologist, Infectious Disease Specialist"
Leptospirosis,High Fever,Muscle Pain,Jaundice,Avoid contaminated water,"Doxycycline, Penicillin",Infectious Disease Specialist
Chikungunya,Joint Pain,Fever,Rash,"Mosquito control, insect repellent","Pain relievers, Fluids",Infectious Disease Specialist
Hepatitis A,Jaundice,Nausea,Fatigue,"Vaccination, clean water",Supportive care,Hepatologist
Hepatitis C,Fatigue,Jaundice,Abdominal Pain,"Avoid unclean needles, safe sex",Antivirals,Hepatologist
Liver Cirrhosis,Fatigue,Jaundice,Swelling,"Avoid alcohol, healthy diet, manage hepatitis","Diuretics, Beta-blockers",Hepatologist
Cystic Fibrosis,Persistent Cough,Lung Infections,Poor Growth,"Genetic screening, physiotherapy, airway clearance","Mucolytics, Antibiotics",Pulmonologist
Multiple Sclerosis (MS),Vision Problems,Muscle Weakness,Numbness,"Physical therapy, avoid overheating","Immunomodulators, Corticosteroids",Neurologist
Polio,Fever,Muscle Weakness,Paralysis,"Polio vaccine, hygiene",Supportive therapy,"Neurologist, Infectious Disease Specialist"
Ebola Virus Disease,High Fever,Bleeding,Organ Failure,"Avoid infected individuals, protective clothing","Supportive care, Antivirals",Infectious Disease Specialist
Zika Virus,Rash,Fever,Joint Pain,"Mosquito control, avoid travel to outbreak areas","Pain relievers, Fluids",Infectious Disease Specialist
Anxiety Disorder,Excessive Worry,Restlessness,Rapid Heart Rate,"Therapy, meditation","Anxiolytics, Antidepressants",Psychiatrist
Schizophrenia,Hallucinations,Disorganized Speech,Delusions,"Early intervention, therapy",Antipsychotics,Psychiatrist
Lupus,Fatigue,Joint Pain,Skin Rash,"Avoid triggers, sun protection","Immunosuppressants, Steroids",Rheumatologist
Celiac Disease,Abdominal Pain,Diarrhea,Weight Loss,Gluten-free diet,Dietary management,Gastroenterologist
Crohn’s Disease,Abdominal Pain,Diarrhea,Fatigue,"Healthy diet, reduce stress","Anti-inflammatories, Biologics",Gastroenterologist
Ulcerative Colitis,Bloody Diarrhea,Abdominal Pain,Fatigue,"Avoid trigger foods, medication","Anti-inflammatories, Immunosuppressants",Gastroenterologist
Parkinson’s Disease,Tremors,Stiff Muscles,Slowed Movement,"Exercise, avoid toxins",Dopamine Medications,Neurologist
Gout,Joint Pain,Swelling,Redness,"Avoid alcohol, reduce purine-rich foods","Anti-inflammatories, Uric Acid Reducers",Rheumatologist
Varicella (Shingles),Painful Rash,Blisters,Burning Sensation,"Vaccination, avoid stress","Antivirals, Pain Relievers","Dermatologist, Neurologist"
